"Property"
"%"
"::after"
"::backdrop"
"::before"
"::file-selector-button"
"::first-letter"
"::first-line"
"::grammar-error"
"::highlight()"
"::marker"
"::placeholder"
"::selection"
"::spelling-error"
"::view-transition"
"::view-transition-group"
"::view-transition-image-pair"
"::view-transition-new"
"::view-transition-old"
":active"
":any-link"
":auto-fill"
":checked"
":default"
":defined"
":dir()"
":disabled"
":empty"
":enabled"
":first"
":first-child"
":first-of-type"
":focus"
":focus-visible"
":focus-within"
":fullscreen"
":has()"
":hover"
":in-range"
":indeterminate"
":invalid"
":is()"
":lang()"
":last-child"
":last-of-type"
":left"
":link"
":modal"
":not()"
":nth-child()"
":nth-last-child()"
":nth-last-of-type()"
":nth-of-type()"
":only-child"
":only-of-type"
":optional"
":out-of-range"
":placeholder-shown"
":popover-open"
":read-only"
":read-write"
":required"
":right"
":root"
":scope"
":state()"
":target"
":user-invalid"
":user-valid"
":valid"
":visited"
":where()"
"@charset"
"@container"
"@counter-style"
"@font-face"
"@font-palette-values"
"@import"
"@keyframes"
"@layer"
"@media"
"@media aural"
"@namespace"
"@page"
"@property"
"@scope"
"@starting-style"
"@supports"
"a:link"
"a:link:active"
"a:visited"
"a:visited:active"
"abbr"
"above"
"accent-color"
"acos()"
"address"
"align-content"
"align-items"
"align-self"
"all"
"always"
"angle"
"animation"
"animation-delay"
"animation-direction"
"animation-duration"
"animation-fill-mode"
"animation-iteration-count"
"animation-name"
"animation-play-state"
"animation-timing-function"
"area"
"article"
"aside"
"asin()"
"aspect-ratio"
"atan()"
"atan2()"
"attr()"
"audio"
"auto"
"azimuth"
"b"
"backdrop-filter"
"backface-visibility"
"background"
"background-attachment"
"background-blend-mode"
"background-clip"
"background-color"
"background-image"
"background-origin"
"background-position"
"background-position-x"
"background-position-y"
"background-repeat"
"background-size"
"base"
"bdi"
"bdo"
"behind"
"below"
"block-size"
"blockquote"
"blur()"
"body"
"body:focus"
"border"
"border-block"
"border-block-color"
"border-block-end"
"border-block-end-color"
"border-block-end-style"
"border-block-end-width"
"border-block-start"
"border-block-start-color"
"border-block-start-style"
"border-block-start-width"
"border-block-style"
"border-block-width"
"border-bottom"
"border-bottom-color"
"border-bottom-left-radius"
"border-bottom-right-radius"
"border-bottom-style"
"border-bottom-width"
"border-collapse"
"border-color"
"border-end-end-radius"
"border-end-start-radius"
"border-image"
"border-image-outset"
"border-image-repeat"
"border-image-slice"
"border-image-source"
"border-image-width"
"border-inline"
"border-inline-color"
"border-inline-end"
"border-inline-end-color"
"border-inline-end-style"
"border-inline-end-width"
"border-inline-start"
"border-inline-start-color"
"border-inline-start-style"
"border-inline-start-width"
"border-inline-style"
"border-inline-width"
"border-left"
"border-left-color"
"border-left-style"
"border-left-width"
"border-radius"
"border-right"
"border-right-color"
"border-right-style"
"border-right-width"
"border-spacing"
"border-start-end-radius"
"border-start-start-radius"
"border-style"
"border-top"
"border-top-color"
"border-top-left-radius"
"border-top-right-radius"
"border-top-style"
"border-top-width"
"border-width"
"bottom"
"box-decoration-break"
"box-reflect"
"box-shadow"
"box-sizing"
"br"
"break-after"
"break-before"
"break-inside"
"brightness()"
"button"
"calc()"
"canvas"
"caption"
"caption-side"
"caret-color"
"center"
"center-left"
"center-right"
"ch"
"circle()"
"cite"
"clear"
"clip"
"clip-path"
"cm"
"code"
"col"
"colgroup"
"color"
"color()"
"color-mix()"
"color-scheme"
"column-count"
"column-fill"
"column-gap"
"column-rule"
"column-rule-color"
"column-rule-style"
"column-rule-width"
"column-span"
"column-width"
"columns"
"conic-gradient()"
"content"
"continuous"
"contrast()"
"cos()"
"counter()"
"counter-increment"
"counter-reset"
"counter-set"
"counters()"
"cubic-bezier()"
"cue"
"cue-after"
"cue-before"
"cursor"
"datalist"
"dd"
"del"
"details"
"dfn"
"dialog"
"digits"
"direction"
"display"
"div"
"dl"
"drop-shadow()"
"dt"
"Element"
"elevation"
"ellipse()"
"em"
"embed:focus"
"empty-cells"
"ex"
"exp()"
"far-left"
"far-right"
"fast"
"faster"
"fieldset"
"figcaption"
"figure"
"filter"
"fit-content()"
"flex"
"flex-basis"
"flex-direction"
"flex-flow"
"flex-grow"
"flex-shrink"
"flex-wrap"
"float"
"font"
"font-family"
"font-feature-settings"
"font-kerning"
"font-size"
"font-size-adjust"
"font-stretch"
"font-style"
"font-variant"
"font-variant-caps"
"font-weight"
"footer"
"form"
"frequency"
"gap"
"generic-voice"
"grayscale()"
"grid"
"grid-area"
"grid-auto-columns"
"grid-auto-flow"
"grid-auto-rows"
"grid-column"
"grid-column-end"
"grid-column-start"
"grid-row"
"grid-row-end"
"grid-row-start"
"grid-template"
"grid-template-areas"
"grid-template-columns"
"grid-template-rows"
"h1"
"h2"
"h3"
"h4"
"h5"
"h6"
"hanging-punctuation"
"head"
"header"
"height"
"high"
"higher"
"hr"
"hsl() / hsla()"
"html"
"html:focus"
"hue-rotate()"
"hwb()"
"hyphenate-character"
"hyphens"
"hypot()"
"i"
"iframe:focus"
"iframe[seamless]"
"image-rendering"
"img"
"in"
"initial-letter"
"inline-size"
"input"
"ins"
"inset"
"inset()"
"inset-block"
"inset-block-end"
"inset-block-start"
"inset-inline"
"inset-inline-end"
"inset-inline-start"
"invert()"
"isolation"
"justify-content"
"justify-items"
"justify-self"
"kbd"
"lab()"
"label"
"lch()"
"left"
"left-side"
"leftwards"
"legend"
"letter-spacing"
"level"
"li"
"light-dark()"
"line-height"
"linear-gradient()"
"link"
"list-style"
"list-style-image"
"list-style-position"
"list-style-type"
"log()"
"loud"
"low"
"lower"
"main"
"map"
"margin"
"margin-block"
"margin-block-end"
"margin-block-start"
"margin-bottom"
"margin-inline"
"margin-inline-end"
"margin-inline-start"
"margin-left"
"margin-right"
"margin-top"
"mark"
"marker"
"marker-end"
"marker-mid"
"marker-start"
"mask"
"mask-clip"
"mask-composite"
"mask-image"
"mask-mode"
"mask-origin"
"mask-position"
"mask-repeat"
"mask-size"
"mask-type"
"matrix()"
"matrix3d()"
"max()"
"max-block-size"
"max-height"
"max-inline-size"
"max-width"
"medium"
"menu"
"menuitem"
"meta"
"meter"
"min()"
"min-block-size"
"min-height"
"min-inline-size"
"min-width"
"minmax()"
"mix"
"mix-blend-mode"
"mm"
"mod()"
"nav"
"none"
"normal"
"noscript"
"number"
"object-fit"
"object-position"
"object:focus"
"offset"
"offset-anchor"
"offset-distance"
"offset-path"
"offset-position"
"offset-rotate"
"oklab()"
"oklch()"
"ol"
"once"
"opacity"
"opacity()"
"optgroup"
"option"
"order"
"orphans"
"outline"
"outline-color"
"outline-offset"
"outline-style"
"outline-width"
"output"
"overflow"
"overflow-anchor"
"overflow-wrap"
"overflow-x"
"overflow-y"
"overscroll-behavior"
"overscroll-behavior-block"
"overscroll-behavior-inline"
"overscroll-behavior-x"
"overscroll-behavior-y"
"p"
"padding"
"padding-block"
"padding-block-end"
"padding-block-start"
"padding-bottom"
"padding-inline"
"padding-inline-end"
"padding-inline-start"
"padding-left"
"padding-right"
"padding-top"
"page-break-after"
"page-break-before"
"page-break-inside"
"paint-order"
"param"
"pause"
"pause-after"
"pause-before"
"pc"
"perspective"
"perspective()"
"perspective-origin"
"picture"
"pitch"
"pitch-range"
"place-content"
"place-items"
"place-self"
"play-during"
"pointer-events"
"polygon()"
"position"
"pow()"
"pre"
"progress"
"pt"
"px *"
"q"
"q::after"
"q::before"
"quotes"
"radial-gradient()"
"ray()"
"rem"
"rem()"
"repeat"
"repeat()"
"repeating-conic-gradient()"
"repeating-linear-gradient()"
"repeating-radial-gradient()"
"resize"
"rgb() / rgba()"
"richness"
"right"
"right-side"
"rightwards"
"rotate"
"rotate()"
"rotate3d()"
"rotateX()"
"rotateY()"
"rotateZ()"
"round()"
"row-gap"
"rp"
"rt"
"ruby"
"s"
"samp"
"saturate()"
"scale"
"scale()"
"scale3d()"
"scaleX()"
"scaleY()"
"script"
"scroll-behavior"
"scroll-margin"
"scroll-margin-block"
"scroll-margin-block-end"
"scroll-margin-block-start"
"scroll-margin-bottom"
"scroll-margin-inline"
"scroll-margin-inline-end"
"scroll-margin-inline-start"
"scroll-margin-left"
"scroll-margin-right"
"scroll-margin-top"
"scroll-padding"
"scroll-padding-block"
"scroll-padding-block-end"
"scroll-padding-block-start"
"scroll-padding-bottom"
"scroll-padding-inline"
"scroll-padding-inline-end"
"scroll-padding-inline-start"
"scroll-padding-left"
"scroll-padding-right"
"scroll-padding-top"
"scroll-snap-align"
"scroll-snap-stop"
"scroll-snap-type"
"scrollbar-color"
"section"
"select"
"sepia()"
"shape-outside"
"silent"
"sin()"
"skew()"
"skewX()"
"skewY()"
"slow"
"slower"
"small"
"soft"
"source"
"span"
"speak"
"speak-header"
"speak-numeral"
"speak-punctuation"
"specific-voice"
"speech-rate"
"spell-out"
"sqrt()"
"steps()"
"stress"
"strike"
"strong"
"style"
"sub"
"summary"
"sup"
"tab-size"
"table"
"table-layout"
"tan()"
"tbody"
"td"
"template"
"text-align"
"text-align-last"
"text-decoration"
"text-decoration-color"
"text-decoration-line"
"text-decoration-style"
"text-decoration-thickness"
